id,zero_ratio
HOBBIES_1_001_CA_1_evaluation,0.7753735188047398
HOBBIES_1_002_CA_1_evaluation,0.7897990726429676
HOBBIES_1_003_CA_1_evaluation,0.8820195775373518
HOBBIES_1_004_CA_1_evaluation,0.32199896960329727
HOBBIES_1_005_CA_1_evaluation,0.4935600206079341
HOBBIES_1_006_CA_1_evaluation,0.6573930963420918
HOBBIES_1_007_CA_1_evaluation,0.8134981968057702
HOBBIES_1_008_CA_1_evaluation,0.2771767130345183
HOBBIES_1_009_CA_1_evaluation,0.5440494590417311
HOBBIES_1_010_CA_1_evaluation,0.5218959299330242
HOBBIES_1_011_CA_1_evaluation,0.9330242143225141
HOBBIES_1_012_CA_1_evaluation,0.6883049974240082
HOBBIES_1_013_CA_1_evaluation,0.7928902627511591
HOBBIES_1_014_CA_1_evaluation,0.44152498712004123
HOBBIES_1_015_CA_1_evaluation,0.19835136527563113
HOBBIES_1_016_CA_1_evaluation,0.20607934054611024
HOBBIES_1_017_CA_1_evaluation,0.4992272024729521
HOBBIES_1_018_CA_1_evaluation,0.9577537351880474
HOBBIES_1_019_CA_1_evaluation,0.5131375579598145
HOBBIES_1_020_CA_1_evaluation,0.7465224111282844
HOBBIES_1_021_CA_1_evaluation,0.6007212776919114
HOBBIES_1_022_CA_1_evaluation,0.7315816589386914
HOBBIES_1_023_CA_1_evaluation,0.4641937145801133
HOBBIES_1_024_CA_1_evaluation,0.8227717671303452
HOBBIES_1_025_CA_1_evaluation,0.7094281298299846
HOBBIES_1_026_CA_1_evaluation,0.9876352395672334
HOBBIES_1_027_CA_1_evaluation,0.859866048428645
HOBBIES_1_028_CA_1_evaluation,0.5569294178258629
HOBBIES_1_029_CA_1_evaluation,0.3276661514683153
HOBBIES_1_030_CA_1_evaluation,0.48119526017516745
HOBBIES_1_031_CA_1_evaluation,0.7125193199381762
HOBBIES_1_032_CA_1_evaluation,0.36269963936115407
HOBBIES_1_033_CA_1_evaluation,0.865533230293663
HOBBIES_1_034_CA_1_evaluation,0.6816074188562596
HOBBIES_1_035_CA_1_evaluation,0.8815043791859866
HOBBIES_1_036_CA_1_evaluation,0.6414219474497682
